,amt,cnt,amt_ratio,cnt_ratio
간이주점,2145798150028,46812656,0.050037919037968295,0.024961564078431912
고기요리,7393177377761,164090243,0.1724016823562442,0.08749661876245525
디저트/음료,6901965258894,678078439,0.1609470950578,0.36156671831014214
별식/퓨전요리,1694044623731,68012510,0.03950346761546567,0.036265804411952
분식,2251772115044,157555381,0.05250912849517372,0.0840120829446903
양식,1046776772600,29696361,0.024409812916234026,0.015834769511854793
일식/수산물,3976996144293,79383189,0.09273966942316941,0.0423289069300783
중식,1474129955189,60992246,0.034375272132762584,0.032522441299132496
패스트푸드,1803164437001,149976951,0.042048035184307705,0.0799710931307624
한식,14195616189451,440791557,0.3310279177808744,0.23504000062050043
